urdu,english
بلاول بھٹوکوپیپلزپارٹی پر کرپشن کے الزامات سے جان چھوڑانا ہوگی اور عوام کو یہ بات باور کرانی ہوگی کہ اسے کرپشن سے نفرت ہے اور عوامی فلاح کے منصوبوں کے ذریعے محروم طبقات کا معیار زندگی بلند کرنا اس کیاولین ترجیح ہے۔,The Bilawal Bhuttopopi PPP will have to quit the allegations of corruption and the public will have to believe that it hates corruption and that it is a priority to raise the standard of living of the deprived sections through public welfare schemes.
اللہ ہی نے پیدا کیا ہے تم کو بھی اور ان چیزوں کو بھی جن کو تم بناتے ہو۔,Allah has created you and the things you make.
یہ پیپرانسانی زندگی کے نشووارتقا سے براہ راست بحث نہیں کرتا، اورآدم کا تذکرہ بھی اس میں ثانوی حیثیت میں آیا ہے۔,"This paper does not directly discuss the development of life, and the mention of Adam is also mentioned in it."
اس طرح میں نہ ان سے اور نہ چچا محمود صاحب سے زیادہ استفادہ کر سکا۔,In this way I could neither benefit from them nor Uncle Mahmood.
کیا پاکستان میں قدرتی آفات سے نمٹنےکا ادارہ اور مطلوبہ وسائلٴ موجود نہیں ؟,Does Pakistan not have natural disasters and resources to deal with natural disasters?
یہ الگ بحث ہے کہ انھوں نے حملہ غلط کیا ہے یا صحیح، لیکن اسے آپ دہشت گردی نہیں کہہ سکتے۔,"It is a separate debate whether they have done wrong or right, but you cannot call it terrorism."
دعا ایک ایسا عمل ہے جس کی ضرورت ہم سب کو ہوتی ہے ۔,Prayer is a process that we all need.
اس وقت سے لے کر وفات تک ان کے ۳۲ ناول اور ۱۳ افسانوں کے مجموعے شائع ہوئے، وہ انسانی نفسیات کو خوب سمجھتے تھے اور اپنے افسانوں اور ناولوں کے ہیروز کا نقشہ اس خوب صورتی سے کھینچتے تھے کہ افسانے پر حقیقت کا گمان گزرتا تھا۔,"From that time to his death, his collections of three novels and 3 legends were published, he understood human psychology well, and the map of the heroes of his legends and novels was pulling so well that the fiction used to be a reality."
اس دور میں جن حضرات نے ان سے روایات لی ہیں، ان کی روایات میں بظاہر اس تصور کی گنجایش موجود ہے کہ ان میں ارسال ہو، مگر حقیقت اس کے برعکس ہے۔,"The traditions of the gentlemen who have taken traditions from them in this period apparently have the potential to be sent to them, but the truth is the opposite."
انہوں نے طلاق اور ریحام خان کے معاملے پر بھارتی صحافیوں کو لاجواب کر دیا۔,He made Indian journalists terrific on the issue of divorce and Reham Khan.
بچے انہیں آتے جاتے چھیڑنے کی کوشش کرتے ہیں ۔,Children try to tease them.
انتہا پسند ہندؤوں کی طرف سے مسلمانوں کو شدید تنقید کا نشانہ بنانے اورتشدد کرنے کے واقعات میں حیرت انگیز اضافے کے بعد ان کی اہلیہ کرن راؤ جو کہ ہندو مذہب سے تعلق رکھتی ہیں لیکن انھوں نے اپنے شوہر کوہندوستان چھوڑنے کا مشورہ دیا ہے، جس سے اندازہ لگایا جا سکتا ہے کہ وہاں پرحالات کس قدرخراب ہیں، ایسے میں بطورپاکستانی میں نے انھیں لاہورآنے کی دعوت دی ہے۔,"After a surprising increase in the incidents of extremist Hindus and violence against Muslims, his wife, Kiran Rao, who belongs to Hindu religion, has advised her husband to leave India, which can be gauged from how much she is in a state of affairs."
جس چیز سے منع کیا گیا ہے، وہ یہ ہے کہ آپ کی اچانک نگاہ پڑ گئی تو اس کے بعد مقام حسن پر آپ نے دوبارہ نظر دوڑائی اورگھورتے ہی چلے گئے۔,"What is forbidden is that if you suddenly looked, then after that you looked back at the place of beauty and went away."
جواب ملتا ہے۔,The answer is
محکمہ جنگلات کے حکام نے دی کپتان کو بریفنگ ۔,Forest department officials briefed the captain.
میں مسکرایا۔,I smiled.
یہ موقف تھا ائیر انڈیا کے اُس پائلٹ کا جو تاخیر سے آنے والے کیرالہ کے گورنر کو چھوڑکر ہی طیارہ لے اڑا ۔,It was the position of the Air India pilot who left the plane at the delayed Kerala governor.
غامدی صاحب لکھتے ہیں: ”...اِس میں عدالت کو مخاطب کر کے یہ بات نہیں کہی گئی کہ اِس طرح کا کوئی مقدمہ اگر پیش کیا جائے تو مدعی سے اِس نصاب کے مطابق گواہ طلب کرو۔,"Ghamdi writes: ""... It is not addressed by the court and it was not said that if any such case is presented, ask the plaintiff according to the curriculum."
“ وَاِنْ یَّسْتَغِیْثُوْا یُغَاثُوْا بِمَآءٍ کَالْمُھْلِ یَشْوِی الْوُجُوْہَ، بِءْسَ الشَّرَابُ، وَسَآءَ تْ مُرْتَفَقًا. (الکہف ۱۸: ۲۹) ”اگر وہ پانی کے لیے فریاد کریں گے توان کی فریاد رسی اس پانی سے کی جائے گی جو پگھلے ہوئے تانبے کی طرح ہو گا۔,"“ وَاِنْ یَّسْتَغِیْثُوْا یُغَاثُوْا بِمَآءٍ کَالْمُھْلِ یَشْوِی الْوُجُوْہَ، بِءْسَ الشَّرَابُ، وَسَآءَ تْ مُرْتَفَقًا. (الکہف ۱۸: ۲۹) ”اگر وہ پانیFor the sake of crying, the rope of energy will be made with the water that will be like a molten copper."
حج پالیسی 2016 کا اعلان کر دیا گیا۔,Hajj Policy 2016 was announced.
حلال و حرام کے معاملے میں یہ خدا کا اعلان ہے، لہٰذا کسی کو بھی حق نہیں پہنچتا کہ وہ اِن کے علاوہ کسی چیز کو حرام ٹھیرائے۔,"In the case of halal and haraam, it is the declaration of God, so no one has the right to make anything other than them."
کملا ایک نرتکی ہے جو اسے سکھاتی ہے کہ اختلاط کا فن کیا ہوتا ہے اور عورت کی مہربانی میں کیسے رموز پنہاں ہوتے ہیں۔,Kamala is a Nartki who teaches her what the art of mixing is and how the women are in the kindness of the woman.
کعب بن اشرف دفعہ 6 کا مجرم تھا ، عہد کر کے ریاست کے دشمنوں سےملا ھوا تھا ، انہیں چڑھا لانے ، اور مسلمانوں پر اندر سے وار کرنے کا معاہدہ کیا تھا اس نے ، اس کا قتل غداری کی سزا تھی نیز مسلمان مستورات کے بارے میں شاعری کر کے وہ سورہ الاحزاب کی آیت قتلوا تقتیلا کا شکار بنا تھا ، لئن لم ينته المنافقون والذين في قلوبهم مرض والمرجفون في المدينة لنغرينك بهم ثم لا يجاورونك فيها إلا قليلا ( الاحزاب- 60 ) ملعونين أينما ثقفوا أخذوا وقتلوا تقتيلا ( 61 )جن جن کے بارے میں قرآن نے گواھی دی ھے کہ انہوں نے نبیﷺ کی توھین کی ،، ان میں سے کتنے لوگوں کو قتل کیا گیا ؟,"Ka'b ibn Ashraf was the culprit of Article 6, the covenant was met with the enemies of the state, he signed a treaty to climb, and to attack the Muslims.Lagarnak Baham Tam La Yajawar and Fiha-e-Qalalla (Al-Hijab-60) Malniyan-e-Amina-e-Saqfawa-e-Khazawa Taqat-e-Takhtila (61) about whom the Qur'an has testified that he inspired the Prophet, how many of them were killed?"
